ID,FAM,Undiscovered
0,FAM_01,0
1,FAM_02,0
2,FAM_03,1
3,FAM_04,1
4,FAM_05,0
5,FAM_06,0
6,FAM_07,1
7,FAM_08,1
8,FAM_09,0
9,FAM_10,1
10,FAM_11,0
11,FAM_12,0
12,FAM_13,1
13,FAM_14,1
14,FAM_15,0
15,FAM_16,1
16,FAM_17,1
17,FAM_18,1
18,FAM_19,0
19,FAM_20,1
20,FAM_21,1
21,FAM_22,0
22,FAM_23,0
23,FAM_24,0
24,FAM_25,0
25,FAM_26,0
26,FAM_31,1
27,FAM_28,0
28,FAM_27,0
29,FAM_26,0
30,FAM_31,1
31,FAM_32,0
32,FAM_33,0
33,FAM_34,0
34,FAM_35,0
35,FAM_36,1
36,FAM_37,0
37,FAM_38,0
38,FAM_59,0
39,FAM_39,0
40,FAM_40,0
41,FAM_41,0
42,FAM_42,0
43,FAM_43,0
44,FAM_44,0
45,FAM_45,1
46,FAM_46,1
47,FAM_47,0
48,FAM_48,0
49,FAM_49,1
50,FAM_27,0
51,FAM_51,1
52,FAM_52,0
53,FAM_53,1
54,FAM_54,1
55,FAM_55,0
56,FAM_56,0
57,FAM_57,0
58,FAM_58,0
59,FAM_59,0
60,FAM_60,1
61,FAM_61,1
62,FAM_62,0
63,FAM_63,0
64,FAM_64,0
65,FAM_65,1
66,FAM_66,0
67,FAM_67,0
68,FAM_68,0
69,FAM_69,0
70,FAM_70,0
71,FAM_71,0
72,FAM_05,0
73,FAM_10,1
74,FAM_16,1
75,FAM_56,0
76,FAM_44,0
77,FAM_34,0
78,FAM_23,0
79,FAM_37,0
80,FAM_37,0
81,FAM_37,0
82,FAM_37,0
83,FAM_26,0
84,FAM_26,0
85,FAM_27,0
86,FAM_27,0
87,FAM_49,1
88,FAM_59,0
89,FAM_59,0
90,FAM_59,0
91,FAM_59,0
92,FAM_59,0
93,FAM_59,0
94,FAM_59,0
95,FAM_59,0
96,FAM_59,0
97,FAM_59,0
104,FAM_46,1
105,FAM_46,1
106,FAM_46,1
107,FAM_14,1
108,FAM_14,1
109,FAM_46,1
110,FAM_35,0
112,FAM_35,0
113,FAM_41,0
114,FAM_50,0
115,FAM_15,0
116,FAM_15,0
117,FAM_15,0
118,FAM_15,0
119,FAM_15,0
120,FAM_15,0
121,FAM_15,0
100,,1
101,,1
102,,1
103,,1
98,,1
99,,1
