respondent,sm_idiographic_exploration,sm_idiographic_priceConsciousness,sm_immediate_familiarity,sm_immediate_easeOfNavigation,sm_immediate_enjoyment,sm_post_brandResonance,sm_post_dineIn,sm_post_categoryComprehension
1,41,12,2,4,28,42,26,57
2,40,10,1,4,33,52,31,52
3,40,12,2,5,35,55,34,58
4,39,12,1,5,33,41,29,35
5,48,18,2,4,34,55,33,46
6,35,16,2,3,26,44,27,39
7,44,8,2,3,15,45,23,51
8,NaN,NaN,4,4,17,37,25,51
9,46,15,2,5,29,43,27,54
10,37,9,2,3,26,45,28,55
11,37,12,4,5,28,NaN,NaN,NaN
12,48,16,2,5,28,46,28,52
13,37,19,1,4,29,34,24,64
14,43,8,2,3,30,45,30,45
15,43,14,4,5,35,40,27,49
16,41,12,1,4,29,51,33,55
17,40,19,2,5,29,39,24,51
18,37,4,1,5,31,41,18,56
19,50,15,1,4,31,54,35,63
20,37,12,1,3,19,39,27,40
21,44,10,3,3,22,48,27,41
22,37,12,2,3,27,46,31,60
23,36,11,1,5,29,49,32,62
24,39,13,2,5,33,49,29,57
25,44,8,2,5,30,42,26,59
26,39,15,2,4,28,40,23,48
27,38,15,2,4,26,50,31,47
28,43,12,1,4,32,40,24,48
29,44,11,1,3,23,41,28,42
30,41,12,2,4,27,41,27,49
31,41,17,2,4,34,53,34,59
32,40,13,2,4,24,42,25,53
33,30,11,1,4,27,45,28,41
34,39,14,1,4,33,51,32,51
35,41,12,3,4,27,38,26,41
36,38,11,2,4,22,33,23,48
37,33,18,2,4,26,42,28,50
38,43,20,1,3,30,49,35,43
39,42,19,2,3,32,55,35,45
40,45,13,3,5,29,48,26,51
41,44,11,1,5,28,49,25,55
42,32,17,4,3,26,40,23,33
43,47,9,1,5,35,53,29,65
44,42,12,2,3,23,37,22,52
45,43,15,1,5,27,49,27,62
46,13,11,2,5,34,11,7,65
47,38,10,2,3,27,49,30,55
48,44,14,2,3,30,43,26,52
49,37,13,2,4,28,44,25,51
50,43,13,2,5,32,51,32,58
51,46,15,2,1,13,30,23,58
52,48,8,2,4,25,29,15,55
53,30,12,1,4,27,46,28,55
54,44,16,1,4,30,51,33,56
55,45,10,1,4,32,44,26,65
56,38,15,2,5,30,51,33,53
57,37,14,1,2,17,43,26,50
58,29,18,2,3,28,50,34,36
59,32,13,1,4,29,44,30,52
60,35,12,2,3,29,42,22,43
61,34,14,2,2,17,37,26,37
62,39,14,2,4,26,43,25,47
63,30,16,2,3,30,50,27,51
64,44,16,1,5,35,53,35,62
65,34,15,3,4,31,52,32,45
66,36,17,2,3,30,46,32,44
67,43,20,2,4,30,53,32,50
68,43,12,4,5,23,41,24,57
69,36,14,1,5,35,53,35,60
70,42,18,2,4,29,44,30,38
71,50,17,1,3,22,45,29,40
72,35,14,2,3,25,48,30,47
73,40,16,2,5,27,47,28,43
74,39,16,2,5,28,55,33,49
75,26,10,1,5,35,55,35,65
76,32,18,1,5,34,40,28,43
77,37,13,2,4,27,45,26,53
78,43,16,1,5,30,50,28,57
79,39,11,2,4,33,48,32,49
80,48,9,1,5,35,55,34,59
81,27,11,2,3,24,39,23,51
82,41,19,1,4,30,45,30,54
83,31,8,1,4,31,50,33,59
84,37,16,1,4,26,44,24,36
85,36,15,1,2,19,30,20,40
86,41,15,2,5,30,48,32,43
87,32,5,2,4,33,48,30,57
88,41,9,2,5,29,38,23,49
89,46,12,2,5,29,44,30,56
90,39,9,1,4,28,47,29,36
